Numero de documentos del corpus: 4480
Numero de palabras del corpus: 380859
Palabra: <UNK> Frec: 0 LogProb: -12.983370
Palabra: aa Frec: 8 LogProb: -10.786145
Palabra: aaa Frec: 4 LogProb: -11.373932
Palabra: aaabattery Frec: 0 LogProb: -12.983370
Palabra: aaar Frec: 1 LogProb: -12.290223
Palabra: aaas Frec: 1 LogProb: -12.290223
Palabra: aac Frec: 0 LogProb: -12.983370
Palabra: aachen Frec: 1 LogProb: -12.290223
Palabra: aadhaar Frec: 0 LogProb: -12.983370
Palabra: aadhar Frec: 0 LogProb: -12.983370
Palabra: aadhunik Frec: 0 LogProb: -12.983370
Palabra: aadhya Frec: 0 LogProb: -12.983370
Palabra: aadi Frec: 0 LogProb: -12.983370
Palabra: aadmi Frec: 1 LogProb: -12.290223
Palabra: aadmora Frec: 0 LogProb: -12.983370
Palabra: aadvay Frec: 0 LogProb: -12.983370
Palabra: aai Frec: 4 LogProb: -11.373932
Palabra: aaiffel Frec: 0 LogProb: -12.983370
Palabra: aaj Frec: 0 LogProb: -12.983370
Palabra: aakash Frec: 1 LogProb: -12.290223
Palabra: aakrithi Frec: 0 LogProb: -12.983370
Palabra: aalim Frec: 0 LogProb: -12.983370
Palabra: aam Frec: 1 LogProb: -12.290223
Palabra: aamazing Frec: 0 LogProb: -12.983370
Palabra: aamchur Frec: 0 LogProb: -12.983370
Palabra: aameria Frec: 0 LogProb: -12.983370
Palabra: aamras Frec: 0 LogProb: -12.983370
Palabra: aandhi Frec: 1 LogProb: -12.290223
Palabra: aandwiches Frec: 0 LogProb: -12.983370
Palabra: aania Frec: 0 LogProb: -12.983370
Palabra: aanya Frec: 1 LogProb: -12.290223
Palabra: aanyacentric Frec: 0 LogProb: -12.983370
Palabra: aao Frec: 3 LogProb: -11.597075
Palabra: aar Frec: 1 LogProb: -12.290223
Palabra: aaram Frec: 0 LogProb: -12.983370
Palabra: aarav Frec: 0 LogProb: -12.983370
Palabra: aarbee Frec: 0 LogProb: -12.983370
Palabra: aarfa Frec: 1 LogProb: -12.290223
Palabra: aari Frec: 0 LogProb: -12.983370
Palabra: aarika Frec: 0 LogProb: -12.983370
Palabra: aarka Frec: 0 LogProb: -12.983370
Palabra: aaron Frec: 3 LogProb: -11.597075
Palabra: aaronovitch Frec: 3 LogProb: -11.597075
Palabra: aarsun Frec: 0 LogProb: -12.983370
Palabra: aart Frec: 2 LogProb: -11.884758
Palabra: aarti Frec: 3 LogProb: -11.597075
Palabra: aas Frec: 1 LogProb: -12.290223
Palabra: aasa Frec: 0 LogProb: -12.983370
Palabra: aashi Frec: 0 LogProb: -12.983370
Palabra: aashiqui Frec: 1 LogProb: -12.290223
Palabra: aashirya Frec: 0 LogProb: -12.983370
Palabra: aashto Frec: 1 LogProb: -12.290223
Palabra: aassembly Frec: 0 LogProb: -12.983370
Palabra: aata Frec: 0 LogProb: -12.983370
Palabra: aatachable Frec: 0 LogProb: -12.983370
Palabra: aati Frec: 1 LogProb: -12.290223
