Numero de documentos del corpus: 4053
Numero de palabras del corpus: 203009
Palabra: <UNK> Frec: 0 LogProb: -12.457870
Palabra: aa Frec: 3 LogProb: -11.071575
Palabra: aaa Frec: 0 LogProb: -12.457870
Palabra: aaabattery Frec: 0 LogProb: -12.457870
Palabra: aaar Frec: 0 LogProb: -12.457870
Palabra: aaas Frec: 0 LogProb: -12.457870
Palabra: aac Frec: 0 LogProb: -12.457870
Palabra: aachen Frec: 0 LogProb: -12.457870
Palabra: aadhaar Frec: 0 LogProb: -12.457870
Palabra: aadhar Frec: 0 LogProb: -12.457870
Palabra: aadhunik Frec: 0 LogProb: -12.457870
Palabra: aadhya Frec: 0 LogProb: -12.457870
Palabra: aadi Frec: 0 LogProb: -12.457870
Palabra: aadmi Frec: 0 LogProb: -12.457870
Palabra: aadmora Frec: 0 LogProb: -12.457870
Palabra: aadvay Frec: 0 LogProb: -12.457870
Palabra: aai Frec: 0 LogProb: -12.457870
Palabra: aaiffel Frec: 0 LogProb: -12.457870
Palabra: aaj Frec: 0 LogProb: -12.457870
Palabra: aakash Frec: 0 LogProb: -12.457870
Palabra: aakrithi Frec: 11 LogProb: -9.972963
Palabra: aalim Frec: 0 LogProb: -12.457870
Palabra: aam Frec: 0 LogProb: -12.457870
Palabra: aamazing Frec: 0 LogProb: -12.457870
Palabra: aamchur Frec: 0 LogProb: -12.457870
Palabra: aameria Frec: 0 LogProb: -12.457870
Palabra: aamras Frec: 0 LogProb: -12.457870
Palabra: aandhi Frec: 0 LogProb: -12.457870
Palabra: aandwiches Frec: 0 LogProb: -12.457870
Palabra: aania Frec: 2 LogProb: -11.359258
Palabra: aanya Frec: 0 LogProb: -12.457870
Palabra: aanyacentric Frec: 0 LogProb: -12.457870
Palabra: aao Frec: 0 LogProb: -12.457870
Palabra: aar Frec: 0 LogProb: -12.457870
Palabra: aaram Frec: 0 LogProb: -12.457870
Palabra: aarav Frec: 0 LogProb: -12.457870
Palabra: aarbee Frec: 3 LogProb: -11.071575
Palabra: aarfa Frec: 0 LogProb: -12.457870
Palabra: aari Frec: 2 LogProb: -11.359258
Palabra: aarika Frec: 2 LogProb: -11.359258
Palabra: aarka Frec: 0 LogProb: -12.457870
Palabra: aaron Frec: 0 LogProb: -12.457870
Palabra: aaronovitch Frec: 0 LogProb: -12.457870
Palabra: aarsun Frec: 0 LogProb: -12.457870
