Numero de documentos del corpus: 7561
Numero de palabras del corpus: 537652
Palabra: <UNK> Frec: 0 LogProb: -13.291110
Palabra: aa Frec: 57 LogProb: -9.230667
Palabra: aaa Frec: 31 LogProb: -9.825374
Palabra: aaabattery Frec: 0 LogProb: -13.291110
Palabra: aaar Frec: 0 LogProb: -13.291110
Palabra: aaas Frec: 0 LogProb: -13.291110
Palabra: aac Frec: 1 LogProb: -12.597962
Palabra: aachen Frec: 0 LogProb: -13.291110
Palabra: aadhaar Frec: 0 LogProb: -13.291110
Palabra: aadhar Frec: 0 LogProb: -13.291110
Palabra: aadhunik Frec: 0 LogProb: -13.291110
Palabra: aadhya Frec: 2 LogProb: -12.192497
Palabra: aadi Frec: 0 LogProb: -13.291110
Palabra: aadmi Frec: 0 LogProb: -13.291110
Palabra: aadmora Frec: 0 LogProb: -13.291110
Palabra: aadvay Frec: 1 LogProb: -12.597962
Palabra: aai Frec: 1 LogProb: -12.597962
Palabra: aaiffel Frec: 0 LogProb: -13.291110
Palabra: aaj Frec: 0 LogProb: -13.291110
Palabra: aakash Frec: 0 LogProb: -13.291110
Palabra: aakrithi Frec: 0 LogProb: -13.291110
Palabra: aalim Frec: 1 LogProb: -12.597962
Palabra: aam Frec: 4 LogProb: -11.681672
Palabra: aamazing Frec: 1 LogProb: -12.597962
Palabra: aamchur Frec: 1 LogProb: -12.597962
Palabra: aameria Frec: 0 LogProb: -13.291110
Palabra: aamras Frec: 1 LogProb: -12.597962
Palabra: aandhi Frec: 0 LogProb: -13.291110
Palabra: aandwiches Frec: 1 LogProb: -12.597962
Palabra: aania Frec: 0 LogProb: -13.291110
Palabra: aanya Frec: 1 LogProb: -12.597962
Palabra: aanyacentric Frec: 0 LogProb: -13.291110
Palabra: aao Frec: 0 LogProb: -13.291110
Palabra: aar Frec: 0 LogProb: -13.291110
Palabra: aaram Frec: 3 LogProb: -11.904816
Palabra: aarav Frec: 0 LogProb: -13.291110
Palabra: aarbee Frec: 0 LogProb: -13.291110
Palabra: aarfa Frec: 0 LogProb: -13.291110
Palabra: aari Frec: 2 LogProb: -12.192497
Palabra: aarika Frec: 0 LogProb: -13.291110
Palabra: aarka Frec: 3 LogProb: -11.904816
Palabra: aaron Frec: 0 LogProb: -13.291110
Palabra: aaronovitch Frec: 0 LogProb: -13.291110
Palabra: aarsun Frec: 8 LogProb: -11.093885
Palabra: aart Frec: 10 LogProb: -10.893214
Palabra: aarti Frec: 4 LogProb: -11.681672
Palabra: aas Frec: 0 LogProb: -13.291110
Palabra: aasa Frec: 0 LogProb: -13.291110
Palabra: aashi Frec: 1 LogProb: -12.597962
Palabra: aashiqui Frec: 0 LogProb: -13.291110
Palabra: aashirya Frec: 0 LogProb: -13.291110
Palabra: aashto Frec: 0 LogProb: -13.291110
Palabra: aassembly Frec: 0 LogProb: -13.291110
Palabra: aata Frec: 1 LogProb: -12.597962
Palabra: aatachable Frec: 0 LogProb: -13.291110
Palabra: aati Frec: 0 LogProb: -13.291110
Palabra: aattractive Frec: 1 LogProb: -12.597962
Palabra: aatu Frec: 0 LogProb: -13.291110
Palabra: aaux Frec: 0 LogProb: -13.291110
Palabra: aavishkar Frec: 0 LogProb: -13.291110
Palabra: aavjo Frec: 0 LogProb: -13.291110
Palabra: aayog Frec: 0 LogProb: -13.291110
Palabra: aazeem Frec: 3 LogProb: -11.904816
Palabra: ab Frec: 1 LogProb: -12.597962
Palabra: aba Frec: 0 LogProb: -13.291110
Palabra: ababa Frec: 0 LogProb: -13.291110
Palabra: abacus Frec: 1 LogProb: -12.597962
Palabra: abandon Frec: 0 LogProb: -13.291110
Palabra: abandoned Frec: 0 LogProb: -13.291110
Palabra: abandoning Frec: 0 LogProb: -13.291110
Palabra: abandons Frec: 0 LogProb: -13.291110
Palabra: abap Frec: 0 LogProb: -13.291110
Palabra: abarata Frec: 0 LogProb: -13.291110
Palabra: abaya Frec: 0 LogProb: -13.291110
Palabra: abayas Frec: 0 LogProb: -13.291110
Palabra: abb Frec: 0 LogProb: -13.291110
Palabra: abba Frec: 0 LogProb: -13.291110
Palabra: abbasi Frec: 0 LogProb: -13.291110
Palabra: abbasid Frec: 0 LogProb: -13.291110
Palabra: abbe Frec: 0 LogProb: -13.291110
Palabra: abbey Frec: 0 LogProb: -13.291110
Palabra: abbott Frec: 0 LogProb: -13.291110
Palabra: abbreviation Frec: 0 LogProb: -13.291110
Palabra: abbreviations Frec: 0 LogProb: -13.291110
Palabra: abby Frec: 0 LogProb: -13.291110
Palabra: abbyhus Frec: 0 LogProb: -13.291110
Palabra: abc Frec: 7 LogProb: -11.211668
Palabra: abcnews Frec: 0 LogProb: -13.291110
Palabra: abcs Frec: 0 LogProb: -13.291110
Palabra: abd Frec: 0 LogProb: -13.291110
Palabra: abdomen Frec: 0 LogProb: -13.291110
Palabra: abdominal Frec: 0 LogProb: -13.291110
Palabra: abdomino Frec: 0 LogProb: -13.291110
Palabra: abdool Frec: 0 LogProb: -13.291110
Palabra: abdul Frec: 0 LogProb: -13.291110
Palabra: abe Frec: 0 LogProb: -13.291110
Palabra: abec Frec: 0 LogProb: -13.291110
Palabra: abee Frec: 0 LogProb: -13.291110
Palabra: abel Frec: 0 LogProb: -13.291110
Palabra: aberdeen Frec: 0 LogProb: -13.291110
Palabra: aberrant Frec: 0 LogProb: -13.291110
Palabra: aberration Frec: 5 LogProb: -11.499351
Palabra: aberrations Frec: 0 LogProb: -13.291110
Palabra: aberystwyth Frec: 0 LogProb: -13.291110
Palabra: abha Frec: 0 LogProb: -13.291110
Palabra: abhaya Frec: 0 LogProb: -13.291110
Palabra: abhi Frec: 0 LogProb: -13.291110
Palabra: abhijeet Frec: 0 LogProb: -13.291110
Palabra: abhinav Frec: 0 LogProb: -13.291110
Palabra: abhishek Frec: 0 LogProb: -13.291110
Palabra: abhista Frec: 1 LogProb: -12.597962
Palabra: abhivriti Frec: 0 LogProb: -13.291110
Palabra: abhiyaan Frec: 5 LogProb: -11.499351
Palabra: abhiyanta Frec: 0 LogProb: -13.291110
Palabra: abhiyogyata Frec: 0 LogProb: -13.291110
Palabra: abhm Frec: 0 LogProb: -13.291110
Palabra: abhor Frec: 0 LogProb: -13.291110
Palabra: abhorrence Frec: 0 LogProb: -13.291110
Palabra: abide Frec: 0 LogProb: -13.291110
Palabra: abided Frec: 0 LogProb: -13.291110
Palabra: abiding Frec: 0 LogProb: -13.291110
Palabra: abie Frec: 0 LogProb: -13.291110
Palabra: abies Frec: 2 LogProb: -12.192497
Palabra: abigail Frec: 0 LogProb: -13.291110
Palabra: abilities Frec: 4 LogProb: -11.681672
Palabra: ability Frec: 40 LogProb: -9.577538
Palabra: abiti Frec: 0 LogProb: -13.291110
