Numero de documentos del corpus: 15300
Numero de palabras del corpus: 260281
Palabra: <UNK> Frec: 0 LogProb: -12.655318
Palabra: aa Frec: 1 LogProb: -11.962172
Palabra: aaa Frec: 3 LogProb: -11.269024
Palabra: aaaaakubosan Frec: 0 LogProb: -12.655318
Palabra: aaaaas Frec: 0 LogProb: -12.655318
Palabra: aaaand Frec: 0 LogProb: -12.655318
Palabra: aaanews Frec: 0 LogProb: -12.655318
Palabra: aaannnddd Frec: 1 LogProb: -11.962172
Palabra: aaanortheast Frec: 0 LogProb: -12.655318
Palabra: aabutan Frec: 0 LogProb: -12.655318
Palabra: aacopd Frec: 0 LogProb: -12.655318
Palabra: aacounty Frec: 0 LogProb: -12.655318
Palabra: aadeshrawal Frec: 1 LogProb: -11.962172
Palabra: aahealth Frec: 0 LogProb: -12.655318
Palabra: aahh Frec: 0 LogProb: -12.655318
Palabra: aai Frec: 0 LogProb: -12.655318
Palabra: aajeevika Frec: 0 LogProb: -12.655318
Palabra: aajtak Frec: 0 LogProb: -12.655318
Palabra: aakash Frec: 0 LogProb: -12.655318
Palabra: aakelmpkve Frec: 0 LogProb: -12.655318
Palabra: aalonzowatt Frec: 1 LogProb: -11.962172
Palabra: aalto Frec: 0 LogProb: -12.655318
Palabra: aaltouniversity Frec: 0 LogProb: -12.655318
Palabra: aamaadmi Frec: 0 LogProb: -12.655318
Palabra: aamaadmiparty Frec: 0 LogProb: -12.655318
Palabra: aamen Frec: 0 LogProb: -12.655318
Palabra: aao Frec: 0 LogProb: -12.655318
Palabra: aap Frec: 1 LogProb: -11.962172
Palabra: aapbvwmlhw Frec: 1 LogProb: -11.962172
Palabra: aapdelhi Frec: 1 LogProb: -11.962172
Palabra: aapi Frec: 1 LogProb: -11.962172
Palabra: aapka Frec: 0 LogProb: -12.655318
Palabra: aapke Frec: 0 LogProb: -12.655318
Palabra: aapl Frec: 1 LogProb: -11.962172
Palabra: aapnegative Frec: 0 LogProb: -12.655318
Palabra: aappres Frec: 1 LogProb: -11.962172
Palabra: aapss Frec: 0 LogProb: -12.655318
Palabra: aaravndal Frec: 1 LogProb: -11.962172
Palabra: aardwolfkenya Frec: 0 LogProb: -12.655318
Palabra: aaron Frec: 1 LogProb: -11.962172
Palabra: aaronbostermd Frec: 0 LogProb: -12.655318
Palabra: aaronchown Frec: 1 LogProb: -11.962172
Palabra: aarondicks Frec: 0 LogProb: -12.655318
Palabra: aarp Frec: 1 LogProb: -11.962172
Palabra: aarpfraudwatch Frec: 0 LogProb: -12.655318
Palabra: aashith Frec: 0 LogProb: -12.655318
Palabra: aata Frec: 0 LogProb: -12.655318
Palabra: ab Frec: 5 LogProb: -10.863559
Palabra: aba Frec: 1 LogProb: -11.962172
Palabra: ababankers Frec: 4 LogProb: -11.045880
Palabra: abaesq Frec: 0 LogProb: -12.655318
Palabra: abajila Frec: 0 LogProb: -12.655318
Palabra: abandon Frec: 3 LogProb: -11.269024
Palabra: abandoned Frec: 7 LogProb: -10.575877
Palabra: abandonednegative Frec: 0 LogProb: -12.655318
Palabra: abandoning Frec: 2 LogProb: -11.556706
Palabra: abandonment Frec: 1 LogProb: -11.962172
Palabra: abandons Frec: 0 LogProb: -12.655318
Palabra: abangdove Frec: 2 LogProb: -11.556706
Palabra: abass Frec: 0 LogProb: -12.655318
Palabra: abate Frec: 1 LogProb: -11.962172
Palabra: abatement Frec: 1 LogProb: -11.962172
Palabra: abates Frec: 1 LogProb: -11.962172
Palabra: abating Frec: 2 LogProb: -11.556706
Palabra: abattoirs Frec: 1 LogProb: -11.962172
Palabra: abbey Frec: 1 LogProb: -11.962172
Palabra: abbott Frec: 1 LogProb: -11.962172
Palabra: abbreviation Frec: 1 LogProb: -11.962172
Palabra: abbxypaqmf Frec: 0 LogProb: -12.655318
Palabra: abc Frec: 16 LogProb: -9.822105
Palabra: abcactionnews Frec: 0 LogProb: -12.655318
Palabra: abcbrisbane Frec: 0 LogProb: -12.655318
Palabra: abccanberra Frec: 1 LogProb: -11.962172
Palabra: abcdedgar Frec: 1 LogProb: -11.962172
Palabra: abce Frec: 0 LogProb: -12.655318
Palabra: abcnews Frec: 17 LogProb: -9.764947
Palabra: abcnewsmaybe Frec: 0 LogProb: -12.655318
Palabra: abcnewsnegative Frec: 0 LogProb: -12.655318
Palabra: abcnewspositive Frec: 0 LogProb: -12.655318
Palabra: abcpolitics Frec: 1 LogProb: -11.962172
Palabra: abcworldnews Frec: 0 LogProb: -12.655318
Palabra: abd Frec: 0 LogProb: -12.655318
Palabra: abdbozkurt Frec: 0 LogProb: -12.655318
Palabra: abdijan Frec: 0 LogProb: -12.655318
Palabra: abdul Frec: 0 LogProb: -12.655318
Palabra: abdulaziz Frec: 0 LogProb: -12.655318
Palabra: abdulwahab Frec: 1 LogProb: -11.962172
Palabra: abe Frec: 0 LogProb: -12.655318
Palabra: abecon Frec: 1 LogProb: -11.962172
Palabra: abeg Frec: 3 LogProb: -11.269024
Palabra: abeokuta Frec: 0 LogProb: -12.655318
Palabra: aberdeen Frec: 0 LogProb: -12.655318
Palabra: abetterpharmacy Frec: 0 LogProb: -12.655318
Palabra: abha Frec: 0 LogProb: -12.655318
Palabra: abhabhattarai Frec: 5 LogProb: -10.863559
Palabra: abhealth Frec: 2 LogProb: -11.556706
Palabra: abhealthnegative Frec: 0 LogProb: -12.655318
Palabra: abhigolhar Frec: 0 LogProb: -12.655318
Palabra: abhijit Frec: 3 LogProb: -11.269024
Palabra: abhimanyu Frec: 0 LogProb: -12.655318
Palabra: abhinav Frec: 1 LogProb: -11.962172
Palabra: abhishek Frec: 0 LogProb: -12.655318
Palabra: abhishekiplfeak Frec: 0 LogProb: -12.655318
Palabra: abhorent Frec: 1 LogProb: -11.962172
Palabra: abi Frec: 1 LogProb: -11.962172
Palabra: abichippindale Frec: 0 LogProb: -12.655318
Palabra: abide Frec: 1 LogProb: -11.962172
Palabra: abides Frec: 0 LogProb: -12.655318
Palabra: abideth Frec: 0 LogProb: -12.655318
Palabra: abiding Frec: 1 LogProb: -11.962172
Palabra: abiiwastaken Frec: 0 LogProb: -12.655318
Palabra: abilene Frec: 0 LogProb: -12.655318
Palabra: abili Frec: 1 LogProb: -11.962172
Palabra: abilities Frec: 0 LogProb: -12.655318
Palabra: ability Frec: 11 LogProb: -10.170412
Palabra: abilty Frec: 0 LogProb: -12.655318
Palabra: abiodunborisade Frec: 0 LogProb: -12.655318
Palabra: abipvyensm Frec: 1 LogProb: -11.962172
Palabra: abit Frec: 0 LogProb: -12.655318
Palabra: abiv Frec: 0 LogProb: -12.655318
Palabra: abiwilks Frec: 0 LogProb: -12.655318
Palabra: abl Frec: 0 LogProb: -12.655318
Palabra: abled Frec: 2 LogProb: -11.556706
Palabra: ableg Frec: 2 LogProb: -11.556706
Palabra: ableism Frec: 1 LogProb: -11.962172
Palabra: ablepositive Frec: 0 LogProb: -12.655318
Palabra: abnormal Frec: 0 LogProb: -12.655318
Palabra: abnormally Frec: 0 LogProb: -12.655318
Palabra: abo Frec: 1 LogProb: -11.962172
Palabra: aboard Frec: 1 LogProb: -11.962172
Palabra: abode Frec: 1 LogProb: -11.962172
Palabra: abogadonews Frec: 0 LogProb: -12.655318
Palabra: abolish Frec: 1 LogProb: -11.962172
Palabra: abolishes Frec: 0 LogProb: -12.655318
Palabra: abomination Frec: 1 LogProb: -11.962172
Palabra: abortion Frec: 3 LogProb: -11.269024
Palabra: abortionisessentialpositive Frec: 0 LogProb: -12.655318
Palabra: abortu Frec: 0 LogProb: -12.655318
Palabra: abou Frec: 1 LogProb: -11.962172
Palabra: abound Frec: 3 LogProb: -11.269024
Palabra: abourezk Frec: 0 LogProb: -12.655318
Palabra: aboutdoctors Frec: 0 LogProb: -12.655318
Palabra: aboutnegative Frec: 0 LogProb: -12.655318
Palabra: aboutpositive Frec: 0 LogProb: -12.655318
Palabra: abouttime Frec: 1 LogProb: -11.962172
Palabra: above Frec: 19 LogProb: -9.659586
Palabra: abpbreozfkpositive Frec: 0 LogProb: -12.655318
Palabra: abpmajhatv Frec: 0 LogProb: -12.655318
Palabra: abpnews Frec: 1 LogProb: -11.962172
Palabra: abpnewshindi Frec: 1 LogProb: -11.962172
Palabra: abpoli Frec: 0 LogProb: -12.655318
Palabra: abq Frec: 0 LogProb: -12.655318
Palabra: abrahams Frec: 1 LogProb: -11.962172
Palabra: abrami Frec: 0 LogProb: -12.655318
Palabra: abramjee Frec: 1 LogProb: -11.962172
Palabra: abramovich Frec: 0 LogProb: -12.655318
Palabra: abrams Frec: 0 LogProb: -12.655318
Palabra: abrasions Frec: 0 LogProb: -12.655318
Palabra: abreast Frec: 0 LogProb: -12.655318
Palabra: abril Frec: 0 LogProb: -12.655318
Palabra: abroad Frec: 5 LogProb: -10.863559
Palabra: abrupt Frec: 1 LogProb: -11.962172
Palabra: abruptly Frec: 0 LogProb: -12.655318
Palabra: abs Frec: 1 LogProb: -11.962172
Palabra: absa Frec: 0 LogProb: -12.655318
Palabra: absasouthafrica Frec: 0 LogProb: -12.655318
Palabra: absence Frec: 5 LogProb: -10.863559
Palabra: absences Frec: 0 LogProb: -12.655318
Palabra: absent Frec: 4 LogProb: -11.045880
Palabra: absentee Frec: 0 LogProb: -12.655318
Palabra: absfcfkskl Frec: 0 LogProb: -12.655318
Palabra: absinthe Frec: 0 LogProb: -12.655318
Palabra: absolut Frec: 0 LogProb: -12.655318
Palabra: absolute Frec: 32 LogProb: -9.158811
Palabra: absolutel Frec: 1 LogProb: -11.962172
Palabra: absolutelnegative Frec: 0 LogProb: -12.655318
Palabra: absolutely Frec: 68 LogProb: -8.421212
Palabra: absoluteradio Frec: 0 LogProb: -12.655318
Palabra: absorb Frec: 0 LogProb: -12.655318
Palabra: absorbed Frec: 2 LogProb: -11.556706
Palabra: absorbent Frec: 0 LogProb: -12.655318
Palabra: absorbs Frec: 0 LogProb: -12.655318
Palabra: abstainfromebgamespositive Frec: 0 LogProb: -12.655318
Palabra: absurd Frec: 8 LogProb: -10.458094
Palabra: absurdities Frec: 1 LogProb: -11.962172
Palabra: absurdity Frec: 1 LogProb: -11.962172
Palabra: absurdly Frec: 0 LogProb: -12.655318
Palabra: absynth Frec: 0 LogProb: -12.655318
Palabra: abt Frec: 7 LogProb: -10.575877
Palabra: abta Frec: 0 LogProb: -12.655318
Palabra: abtatravel Frec: 0 LogProb: -12.655318
Palabra: abu Frec: 0 LogProb: -12.655318
Palabra: abudhabi Frec: 1 LogProb: -11.962172
Palabra: abudhabided Frec: 0 LogProb: -12.655318
Palabra: abudhabitent Frec: 0 LogProb: -12.655318
Palabra: abuelos Frec: 0 LogProb: -12.655318
Palabra: abuja Frec: 3 LogProb: -11.269024
Palabra: abullerahmed Frec: 0 LogProb: -12.655318
Palabra: abundance Frec: 1 LogProb: -11.962172
Palabra: abundancemindset Frec: 0 LogProb: -12.655318
Palabra: abundant Frec: 0 LogProb: -12.655318
Palabra: abuse Frec: 29 LogProb: -9.254121
Palabra: abused Frec: 10 LogProb: -10.257423
Palabra: abusednegative Frec: 0 LogProb: -12.655318
Palabra: abusers Frec: 1 LogProb: -11.962172
Palabra: abuses Frec: 4 LogProb: -11.045880
Palabra: abusing Frec: 11 LogProb: -10.170412
Palabra: abusive Frec: 5 LogProb: -10.863559
Palabra: abv Frec: 0 LogProb: -12.655318
Palabra: abxomwwfdt Frec: 0 LogProb: -12.655318
Palabra: abysmal Frec: 0 LogProb: -12.655318
Palabra: abyss Frec: 1 LogProb: -11.962172
Palabra: abyssals Frec: 1 LogProb: -11.962172
Palabra: ac Frec: 2 LogProb: -11.556706
Palabra: aca Frec: 4 LogProb: -11.045880
Palabra: acabou Frec: 1 LogProb: -11.962172
Palabra: academia Frec: 1 LogProb: -11.962172
Palabra: academic Frec: 1 LogProb: -11.962172
Palabra: academics Frec: 0 LogProb: -12.655318
Palabra: academictwitter Frec: 0 LogProb: -12.655318
Palabra: academy Frec: 0 LogProb: -12.655318
Palabra: acana Frec: 0 LogProb: -12.655318
Palabra: acanegative Frec: 0 LogProb: -12.655318
Palabra: acapositive Frec: 0 LogProb: -12.655318
Palabra: acasorguk Frec: 0 LogProb: -12.655318
Palabra: acb Frec: 0 LogProb: -12.655318
Palabra: acbvidjkmf Frec: 1 LogProb: -11.962172
Palabra: acbvidjkmfnegative Frec: 0 LogProb: -12.655318
Palabra: acc Frec: 1 LogProb: -11.962172
Palabra: accc Frec: 4 LogProb: -11.045880
Palabra: acccgovau Frec: 1 LogProb: -11.962172
Palabra: acce Frec: 0 LogProb: -12.655318
Palabra: accelerant Frec: 0 LogProb: -12.655318
Palabra: accelerate Frec: 10 LogProb: -10.257423
Palabra: accelerated Frec: 11 LogProb: -10.170412
Palabra: accelerates Frec: 1 LogProb: -11.962172
Palabra: accelerating Frec: 3 LogProb: -11.269024
Palabra: accelerators Frec: 2 LogProb: -11.556706
Palabra: accents Frec: 0 LogProb: -12.655318
Palabra: accentuated Frec: 1 LogProb: -11.962172
Palabra: accept Frec: 12 LogProb: -10.090369
Palabra: acceptable Frec: 2 LogProb: -11.556706
Palabra: acceptance Frec: 0 LogProb: -12.655318
Palabra: accepted Frec: 4 LogProb: -11.045880
Palabra: acceptedoffer Frec: 0 LogProb: -12.655318
Palabra: acceptedpositive Frec: 0 LogProb: -12.655318
Palabra: accepting Frec: 4 LogProb: -11.045880
