Numero de documentos del corpus: 17947
Numero de palabras del corpus: 307061
Palabra: <UNK> Frec: 0 LogProb: -12.794762
Palabra: aa Frec: 1 LogProb: -12.101615
Palabra: aaa Frec: 1 LogProb: -12.101615
Palabra: aaaaakubosan Frec: 1 LogProb: -12.101615
Palabra: aaaaas Frec: 0 LogProb: -12.794762
Palabra: aaaand Frec: 0 LogProb: -12.794762
Palabra: aaanews Frec: 0 LogProb: -12.794762
Palabra: aaannnddd Frec: 0 LogProb: -12.794762
Palabra: aaanortheast Frec: 1 LogProb: -12.101615
Palabra: aabutan Frec: 1 LogProb: -12.101615
Palabra: aacopd Frec: 1 LogProb: -12.101615
Palabra: aacounty Frec: 0 LogProb: -12.794762
Palabra: aadeshrawal Frec: 0 LogProb: -12.794762
Palabra: aahealth Frec: 1 LogProb: -12.101615
Palabra: aahh Frec: 1 LogProb: -12.101615
Palabra: aai Frec: 0 LogProb: -12.794762
Palabra: aajeevika Frec: 1 LogProb: -12.101615
Palabra: aajtak Frec: 3 LogProb: -11.408467
Palabra: aakash Frec: 0 LogProb: -12.794762
Palabra: aakelmpkve Frec: 0 LogProb: -12.794762
Palabra: aalonzowatt Frec: 0 LogProb: -12.794762
Palabra: aalto Frec: 1 LogProb: -12.101615
Palabra: aaltouniversity Frec: 1 LogProb: -12.101615
Palabra: aamaadmi Frec: 1 LogProb: -12.101615
Palabra: aamaadmiparty Frec: 0 LogProb: -12.794762
Palabra: aamen Frec: 0 LogProb: -12.794762
Palabra: aao Frec: 1 LogProb: -12.101615
Palabra: aap Frec: 0 LogProb: -12.794762
Palabra: aapbvwmlhw Frec: 0 LogProb: -12.794762
Palabra: aapdelhi Frec: 0 LogProb: -12.794762
Palabra: aapi Frec: 0 LogProb: -12.794762
Palabra: aapka Frec: 1 LogProb: -12.101615
Palabra: aapke Frec: 0 LogProb: -12.794762
Palabra: aapl Frec: 1 LogProb: -12.101615
Palabra: aapnegative Frec: 0 LogProb: -12.794762
Palabra: aappres Frec: 0 LogProb: -12.794762
Palabra: aapss Frec: 1 LogProb: -12.101615
Palabra: aaravndal Frec: 0 LogProb: -12.794762
Palabra: aardwolfkenya Frec: 0 LogProb: -12.794762
Palabra: aaron Frec: 5 LogProb: -11.003002
Palabra: aaronbostermd Frec: 0 LogProb: -12.794762
Palabra: aaronchown Frec: 0 LogProb: -12.794762
Palabra: aarondicks Frec: 1 LogProb: -12.101615
Palabra: aarp Frec: 1 LogProb: -12.101615
Palabra: aarpfraudwatch Frec: 1 LogProb: -12.101615
Palabra: aashith Frec: 0 LogProb: -12.794762
Palabra: aata Frec: 0 LogProb: -12.794762
Palabra: ab Frec: 1 LogProb: -12.101615
Palabra: aba Frec: 0 LogProb: -12.794762
Palabra: ababankers Frec: 0 LogProb: -12.794762
Palabra: abaesq Frec: 0 LogProb: -12.794762
Palabra: abajila Frec: 1 LogProb: -12.101615
Palabra: abandon Frec: 0 LogProb: -12.794762
Palabra: abandoned Frec: 0 LogProb: -12.794762
Palabra: abandonednegative Frec: 0 LogProb: -12.794762
Palabra: abandoning Frec: 0 LogProb: -12.794762
Palabra: abandonment Frec: 0 LogProb: -12.794762
Palabra: abandons Frec: 1 LogProb: -12.101615
Palabra: abangdove Frec: 0 LogProb: -12.794762
Palabra: abass Frec: 0 LogProb: -12.794762
Palabra: abate Frec: 1 LogProb: -12.101615
Palabra: abatement Frec: 0 LogProb: -12.794762
Palabra: abates Frec: 0 LogProb: -12.794762
Palabra: abating Frec: 0 LogProb: -12.794762
Palabra: abattoirs Frec: 0 LogProb: -12.794762
Palabra: abbey Frec: 0 LogProb: -12.794762
Palabra: abbott Frec: 2 LogProb: -11.696149
Palabra: abbreviation Frec: 0 LogProb: -12.794762
Palabra: abbxypaqmf Frec: 0 LogProb: -12.794762
Palabra: abc Frec: 6 LogProb: -10.848851
Palabra: abcactionnews Frec: 0 LogProb: -12.794762
Palabra: abcbrisbane Frec: 1 LogProb: -12.101615
Palabra: abccanberra Frec: 0 LogProb: -12.794762
Palabra: abcdedgar Frec: 1 LogProb: -12.101615
Palabra: abce Frec: 1 LogProb: -12.101615
Palabra: abcnews Frec: 9 LogProb: -10.492177
Palabra: abcnewsmaybe Frec: 0 LogProb: -12.794762
Palabra: abcnewsnegative Frec: 0 LogProb: -12.794762
Palabra: abcnewspositive Frec: 0 LogProb: -12.794762
Palabra: abcpolitics Frec: 0 LogProb: -12.794762
Palabra: abcworldnews Frec: 0 LogProb: -12.794762
Palabra: abd Frec: 1 LogProb: -12.101615
Palabra: abdbozkurt Frec: 0 LogProb: -12.794762
Palabra: abdijan Frec: 1 LogProb: -12.101615
Palabra: abdul Frec: 3 LogProb: -11.408467
Palabra: abdulaziz Frec: 0 LogProb: -12.794762
Palabra: abdulwahab Frec: 0 LogProb: -12.794762
Palabra: abe Frec: 0 LogProb: -12.794762
Palabra: abecon Frec: 0 LogProb: -12.794762
Palabra: abeg Frec: 1 LogProb: -12.101615
Palabra: abeokuta Frec: 0 LogProb: -12.794762
Palabra: aberdeen Frec: 0 LogProb: -12.794762
Palabra: abetterpharmacy Frec: 0 LogProb: -12.794762
Palabra: abha Frec: 0 LogProb: -12.794762
Palabra: abhabhattarai Frec: 0 LogProb: -12.794762
Palabra: abhealth Frec: 0 LogProb: -12.794762
Palabra: abhealthnegative Frec: 0 LogProb: -12.794762
Palabra: abhigolhar Frec: 1 LogProb: -12.101615
Palabra: abhijit Frec: 0 LogProb: -12.794762
Palabra: abhimanyu Frec: 1 LogProb: -12.101615
Palabra: abhinav Frec: 0 LogProb: -12.794762
Palabra: abhishek Frec: 0 LogProb: -12.794762
Palabra: abhishekiplfeak Frec: 1 LogProb: -12.101615
Palabra: abhorent Frec: 0 LogProb: -12.794762
Palabra: abi Frec: 0 LogProb: -12.794762
Palabra: abichippindale Frec: 0 LogProb: -12.794762
Palabra: abide Frec: 4 LogProb: -11.185324
Palabra: abides Frec: 1 LogProb: -12.101615
